phi1,phi2,flip_time
-3.1,-3.1,0.530536
-3.1,-3.03737,2.69218
-3.1,-2.97475,2.45752
-3.1,-2.91212,2.52069
-3.1,-2.84949,1.86675
-3.1,-2.78687,1.97089
-3.1,-2.72424,1.41312
-3.1,-2.66162,1.2766
-3.1,-2.59899,1.19139
-3.1,-2.53636,1.1315
-3.1,-2.47374,1.08971
-3.1,-2.41111,1.06524
-3.1,-2.34848,1.0671
-3.1,-2.28586,2.0181
-3.1,-2.22323,1.99228
-3.1,-2.16061,2.50474
-3.1,-2.09798,8.64104
-3.1,-2.03535,3.64337
-3.1,-1.97273,2.97934
-3.1,-1.9101,2.98733
-3.1,-1.84747,4.08688
-3.1,-1.78485,13.8391
-3.1,-1.72222,3.30394
-3.1,-1.6596,3.12068
-3.1,-1.59697,3.20828
-3.1,-1.53434,3.54671
-3.1,-1.47172,5.77968
-3.1,-1.40909,4.94329
-3.1,-1.34646,9.58675
-3.1,-1.28384,4.55139
-3.1,-1.22121,5.63844
-3.1,-1.15859,4.6269
-3.1,-1.09596,4.49031
-3.1,-1.03333,5.95471
-3.1,-0.970707,7.20101
-3.1,-0.908081,4.7966
-3.1,-0.845455,4.75874
-3.1,-0.782828,4.47067
-3.1,-0.720202,4.62233
-3.1,-0.657576,6.08371
-3.1,-0.594949,4.68784
-3.1,-0.532323,6.72257
-3.1,-0.469697,6.83788
-3.1,-0.407071,7.93252
-3.1,-0.344444,-1
-3.1,-0.281818,4.59993
-3.1,-0.219192,4.99495
-3.1,-0.156566,3.50957
-3.1,-0.0939394,3.46908
-3.1,-0.0313131,9.79183
-3.1,0.0313131,3.42899
-3.1,0.0939394,3.75513
-3.1,0.156566,4.39322
-3.1,0.219192,8.38453
-3.1,0.281818,3.92332
-3.1,0.344444,-1
-3.1,0.407071,5.367
-3.1,0.469697,2.19745
-3.1,0.532323,2.05184
-3.1,0.594949,1.97058
-3.1,0.657576,1.92392
-3.1,0.720202,1.89756
-3.1,0.782828,1.88551
-3.1,0.845455,1.88557
-3.1,0.908081,1.89694
-3.1,0.970707,1.91895
-3.1,1.03333,1.9504
-3.1,1.09596,1.98907
-3.1,1.15859,2.0314
-3.1,1.22121,2.0725
-3.1,1.28384,2.10672
-3.1,1.34646,2.12806
-3.1,1.40909,2.13035
-3.1,1.47172,2.10758
-3.1,1.53434,2.0566
-3.1,1.59697,1.98552
-3.1,1.6596,1.91597
-3.1,1.72222,1.86679
-3.1,1.78485,1.8568
-3.1,1.84747,3.89537
-3.1,1.9101,1.03277
-3.1,1.97273,1.00446
-3.1,2.03535,1.00586
-3.1,2.09798,1.02144
-3.1,2.16061,1.0489
-3.1,2.22323,1.08945
-3.1,2.28586,1.14785
-3.1,2.34848,1.23805
-3.1,2.41111,1.42914
-3.1,2.47374,2.09062
-3.1,2.53636,3.5567
-3.1,2.59899,2.34105
-3.1,2.66162,2.10349
-3.1,2.72424,2.0223
-3.1,2.78687,1.99327
-3.1,2.84949,2.00653
-3.1,2.91212,2.0771
-3.1,2.97475,4.12856
-3.1,3.03737,2.30528
-3.1,3.1,5.81935
-3.03737,-3.1,0.230804
-3.03737,-3.03737,0.540911
-3.03737,-2.97475,2.14685
-3.03737,-2.91212,3.26689
-3.03737,-2.84949,2.2506
-3.03737,-2.78687,1.34129
-3.03737,-2.72424,2.21675
-3.03737,-2.66162,2.10935
-3.03737,-2.59899,2.26052
-3.03737,-2.53636,4.02445
-3.03737,-2.47374,5.34604
-3.03737,-2.41111,3.02694
-3.03737,-2.34848,2.92538
-3.03737,-2.28586,4.2649
-3.03737,-2.22323,2.17437
-3.03737,-2.16061,2.19966
-3.03737,-2.09798,2.39655
-3.03737,-2.03535,6.08781
-3.03737,-1.97273,2.96174
-3.03737,-1.9101,3.43154
-3.03737,-1.84747,5.21085
-3.03737,-1.78485,6.76809
-3.03737,-1.72222,4.43191
-3.03737,-1.6596,4.28641
-3.03737,-1.59697,4.206
-3.03737,-1.53434,5.11469
-3.03737,-1.47172,8.01597
-3.03737,-1.40909,8.6911
-3.03737,-1.34646,-1
-3.03737,-1.28384,6.45363
-3.03737,-1.22121,4.94471
-3.03737,-1.15859,4.79433
-3.03737,-1.09596,9.73332
-3.03737,-1.03333,7.88796
-3.03737,-0.970707,3.28667
-3.03737,-0.908081,3.17188
-3.03737,-0.845455,3.20839
-3.03737,-0.782828,3.30598
-3.03737,-0.720202,3.56364
-3.03737,-0.657576,5.69796
-3.03737,-0.594949,6.34433
-3.03737,-0.532323,4.55505
-3.03737,-0.469697,4.45321
-3.03737,-0.407071,4.43905
-3.03737,-0.344444,4.53411
-3.03737,-0.281818,-1
-3.03737,-0.219192,3.80808
-3.03737,-0.156566,3.345
-3.03737,-0.0939394,3.27548
-3.03737,-0.0313131,4.69718
-3.03737,0.0313131,4.6914
-3.03737,0.0939394,3.11795
-3.03737,0.156566,3.21153
-3.03737,0.219192,3.69532
-3.03737,0.281818,3.43666
-3.03737,0.344444,5.77643
-3.03737,0.407071,3.71434
-3.03737,0.469697,4.65527
-3.03737,0.532323,2.56312
-3.03737,0.594949,2.14039
-3.03737,0.657576,2.03307
-3.03737,0.720202,5.3686
-3.03737,0.782828,2.99903
-3.03737,0.845455,7.49864
-3.03737,0.908081,4.35707
-3.03737,0.970707,4.02765
-3.03737,1.03333,5.51739
-3.03737,1.09596,2.96216
-3.03737,1.15859,2.87977
-3.03737,1.22121,2.87016
-3.03737,1.28384,1.06875
-3.03737,1.34646,1.0356
-3.03737,1.40909,1.01372
-3.03737,1.47172,0.998847
-3.03737,1.53434,0.989638
-3.03737,1.59697,0.985551
-3.03737,1.6596,0.9865
-3.03737,1.72222,0.992619
-3.03737,1.78485,1.00432
-3.03737,1.84747,1.0224
-3.03737,1.9101,1.04814
-3.03737,1.97273,1.08389
-3.03737,2.03535,1.13419
-3.03737,2.09798,1.20976
-3.03737,2.16061,1.34673
-3.03737,2.22323,1.68595
-3.03737,2.28586,3.22685
-3.03737,2.34848,8.27526
-3.03737,2.41111,4.34119
-3.03737,2.47374,2.08541
-3.03737,2.53636,1.97963
-3.03737,2.59899,1.93254
-3.03737,2.66162,1.91971
-3.03737,2.72424,1.94
-3.03737,2.78687,2.01028
-3.03737,2.84949,3.27039
-3.03737,2.91212,2.52748
-3.03737,2.97475,2.93359
-3.03737,3.03737,3.70517
-3.03737,3.1,2.57065
-2.97475,-3.1,0.172685
-2.97475,-3.03737,0.330342
-2.97475,-2.97475,0.563214
-2.97475,-2.91212,2.26159
-2.97475,-2.84949,1.93057
-2.97475,-2.78687,1.97401
-2.97475,-2.72424,2.06812
-2.97475,-2.66162,2.1881
-2.97475,-2.59899,2.36146
-2.97475,-2.53636,3.18981
-2.97475,-2.47374,3.11606
-2.97475,-2.41111,3.0357
-2.97475,-2.34848,2.18014
-2.97475,-2.28586,2.08029
-2.97475,-2.22323,2.01528
-2.97475,-2.16061,1.96551
-2.97475,-2.09798,1.9264
-2.97475,-2.03535,1.89557
-2.97475,-1.97273,1.87156
-2.97475,-1.9101,1.85356
-2.97475,-1.84747,1.84103
-2.97475,-1.78485,1.83397
-2.97475,-1.72222,1.83261
-2.97475,-1.6596,1.83807
-2.97475,-1.59697,1.85352
-2.97475,-1.53434,1.89625
-2.97475,-1.47172,2.37074
-2.97475,-1.40909,-1
-2.97475,-1.34646,3.85271
-2.97475,-1.28384,3.07405
-2.97475,-1.22121,2.75962
-2.97475,-1.15859,2.70598
-2.97475,-1.09596,2.70221
-2.97475,-1.03333,2.74538
-2.97475,-0.970707,3.00718
-2.97475,-0.908081,8.19139
-2.97475,-0.845455,7.95701
-2.97475,-0.782828,12.6798
-2.97475,-0.720202,10.9228
-2.97475,-0.657576,7.7689
-2.97475,-0.594949,3.31904
-2.97475,-0.532323,3.11917
-2.97475,-0.469697,3.10722
-2.97475,-0.407071,3.12923
-2.97475,-0.344444,3.15447
-2.97475,-0.281818,3.16848
-2.97475,-0.219192,3.16674
-2.97475,-0.156566,3.15941
-2.97475,-0.0939394,3.18414
-2.97475,-0.0313131,3.46416
-2.97475,0.0313131,9.5226
-2.97475,0.0939394,3.09262
-2.97475,0.156566,2.97966
-2.97475,0.219192,3.24412
-2.97475,0.281818,5.47029
-2.97475,0.344444,2.37047
-2.97475,0.407071,2.30248
-2.97475,0.469697,2.43895
-2.97475,0.532323,3.55217
-2.97475,0.594949,2.99058
-2.97475,0.657576,6.35262
-2.97475,0.720202,5.04045
-2.97475,0.782828,2.29345
-2.97475,0.845455,4.08755
-2.97475,0.908081,1.33597
-2.97475,0.970707,1.21861
-2.97475,1.03333,1.16629
-2.97475,1.09596,1.13128
-2.97475,1.15859,1.10645
-2.97475,1.22121,1.08911
-2.97475,1.28384,1.07786
-2.97475,1.34646,1.072
-2.97475,1.40909,1.07123
-2.97475,1.47172,1.07558
-2.97475,1.53434,1.0855
-2.97475,1.59697,1.10186
-2.97475,1.6596,1.12623
-2.97475,1.72222,1.16147
-2.97475,1.78485,1.21303
-2.97475,1.84747,1.29279
-2.97475,1.9101,1.42762
-2.97475,1.97273,1.65029
-2.97475,2.03535,4.32604
-2.97475,2.09798,2.97098
-2.97475,2.16061,5.25483
-2.97475,2.22323,4.10871
-2.97475,2.28586,2.17301
-2.97475,2.34848,1.97236
-2.97475,2.41111,1.90869
-2.97475,2.47374,1.87951
-2.97475,2.53636,1.87555
-2.97475,2.59899,1.89882
-2.97475,2.66162,1.9652
-2.97475,2.72424,4.73102
-2.97475,2.78687,5.14484
-2.97475,2.84949,4.88371
-2.97475,2.91212,2.94765
-2.97475,2.97475,3.39488
-2.97475,3.03737,2.48295
-2.97475,3.1,1.83251
-2.91212,-3.1,0.145658
-2.91212,-3.03737,0.2626
-2.91212,-2.97475,0.392213
-2.91212,-2.91212,0.610647
-2.91212,-2.84949,2.31492
-2.91212,-2.78687,4.31137
-2.91212,-2.72424,1.83615
-2.91212,-2.66162,1.77226
-2.91212,-2.59899,1.76158
-2.91212,-2.53636,1.756
-2.91212,-2.47374,1.74943
-2.91212,-2.41111,1.74083
-2.91212,-2.34848,1.73052
-2.91212,-2.28586,1.7192
-2.91212,-2.22323,1.70755
-2.91212,-2.16061,1.69617
-2.91212,-2.09798,1.68551
-2.91212,-2.03535,1.67589
-2.91212,-1.97273,1.66758
-2.91212,-1.9101,1.66075
-2.91212,-1.84747,1.65555
-2.91212,-1.78485,1.65213
-2.91212,-1.72222,1.65065
-2.91212,-1.6596,1.65127
-2.91212,-1.59697,1.65424
-2.91212,-1.53434,1.65987
-2.91212,-1.47172,1.66858
-2.91212,-1.40909,1.68105
-2.91212,-1.34646,1.69833
-2.91212,-1.28384,1.72241
-2.91212,-1.22121,1.75812
-2.91212,-1.15859,1.83123
-2.91212,-1.09596,2.26799
-2.91212,-1.03333,4.1611
-2.91212,-0.970707,4.91912
-2.91212,-0.908081,2.75267
-2.91212,-0.845455,2.6793
-2.91212,-0.782828,2.68112
-2.91212,-0.720202,2.74152
-2.91212,-0.657576,3.04507
-2.91212,-0.594949,6.23401
-2.91212,-0.532323,7.70551
-2.91212,-0.469697,12.6802
-2.91212,-0.407071,6.37782
-2.91212,-0.344444,9.3027
-2.91212,-0.281818,4.45841
-2.91212,-0.219192,3.22446
-2.91212,-0.156566,3.21539
-2.91212,-0.0939394,3.30582
-2.91212,-0.0313131,4.5614
-2.91212,0.0313131,9.32506
-2.91212,0.0939394,3.31818
-2.91212,0.156566,2.93648
-2.91212,0.219192,2.89907
-2.91212,0.281818,3.20418
-2.91212,0.344444,5.38696
-2.91212,0.407071,2.18451
-2.91212,0.469697,2.07591
