phi1,phi2,flip_time
-3.1,-3.1,-1
-3.1,-3.03737,0.420234
-3.1,-2.97475,0.283697
-3.1,-2.91212,0.232125
-3.1,-2.84949,0.204691
-3.1,-2.78687,0.188217
-3.1,-2.72424,0.177928
-3.1,-2.66162,0.171637
-3.1,-2.59899,0.168208
-3.1,-2.53636,0.167012
-3.1,-2.47374,0.167709
-3.1,-2.41111,0.170158
-3.1,-2.34848,0.174382
-3.1,-2.28586,0.180593
-3.1,-2.22323,0.189289
-3.1,-2.16061,0.201533
-3.1,-2.09798,0.219974
-3.1,-2.03535,0.256179
-3.1,-1.97273,1.7207
-3.1,-1.9101,1.64761
-3.1,-1.84747,1.60277
-3.1,-1.78485,1.57541
-3.1,-1.72222,1.55917
-3.1,-1.6596,1.55025
-3.1,-1.59697,1.5464
-3.1,-1.53434,1.54626
-3.1,-1.47172,1.54902
-3.1,-1.40909,1.55431
-3.1,-1.34646,1.56215
-3.1,-1.28384,1.57298
-3.1,-1.22121,1.58777
-3.1,-1.15859,1.60811
-3.1,-1.09596,1.63658
-3.1,-1.03333,1.67713
-3.1,-0.970707,1.73617
-3.1,-0.908081,1.82513
-3.1,-0.845455,1.96944
-3.1,-0.782828,-1
-3.1,-0.720202,5.78981
-3.1,-0.657576,-1
-3.1,-0.594949,-1
-3.1,-0.532323,-1
-3.1,-0.469697,-1
-3.1,-0.407071,-1
-3.1,-0.344444,-1
-3.1,-0.281818,-1
-3.1,-0.219192,-1
-3.1,-0.156566,-1
-3.1,-0.0939394,-1
-3.1,-0.0313131,-1
-3.1,0.0313131,-1
-3.1,0.0939394,-1
-3.1,0.156566,0.364395
-3.1,0.219192,0.259594
-3.1,0.281818,0.217448
-3.1,0.344444,0.194079
-3.1,0.407071,0.179658
-3.1,0.469697,0.17044
-3.1,0.532323,0.164638
-3.1,0.594949,0.161277
-3.1,0.657576,0.159787
-3.1,0.720202,0.159822
-3.1,0.782828,0.161171
-3.1,0.845455,0.163715
-3.1,0.908081,0.167403
-3.1,0.970707,0.172241
-3.1,1.03333,0.178282
-3.1,1.09596,0.185624
-3.1,1.15859,0.194411
-3.1,1.22121,0.204829
-3.1,1.28384,0.217091
-3.1,1.34646,0.231419
-3.1,1.40909,0.248002
-3.1,1.47172,0.266929
-3.1,1.53434,0.288139
-3.1,1.59697,0.311379
-3.1,1.6596,0.336246
-3.1,1.72222,0.362266
-3.1,1.78485,0.388995
-3.1,1.84747,0.416077
