phi1,phi2,flip_time
-3.1,-3.1,-1
-3.1,-3.03737,0.411752
-3.1,-2.97475,0.277394
-3.1,-2.91212,0.226512
-3.1,-2.84949,0.199481
-3.1,-2.78687,0.183168
-3.1,-2.72424,0.173026
-3.1,-2.66162,0.166841
-3.1,-2.59899,0.163494
-3.1,-2.53636,0.162381
-3.1,-2.47374,0.163135
-3.1,-2.41111,0.16564
-3.1,-2.34848,0.169979
-3.1,-2.28586,0.176234
-3.1,-2.22323,0.185048
-3.1,-2.16061,0.197491
-3.1,-2.09798,0.216364
-3.1,-2.03535,0.254896
-3.1,-1.97273,1.70258
-3.1,-1.9101,1.64196
-3.1,-1.84747,1.61221
-3.1,-1.78485,1.59942
-3.1,-1.72222,1.59711
-3.1,-1.6596,1.60204
-3.1,-1.59697,1.61233
-3.1,-1.53434,1.6266
-3.1,-1.47172,1.64371
-3.1,-1.40909,1.66271
-3.1,-1.34646,1.68301
-3.1,-1.28384,1.70487
-3.1,-1.22121,1.72993
-3.1,-1.15859,1.76229
-3.1,-1.09596,1.81071
-3.1,-1.03333,1.89949
-3.1,-0.970707,2.33196
-3.1,-0.908081,-1
-3.1,-0.845455,-1
-3.1,-0.782828,-1
-3.1,-0.720202,-1
-3.1,-0.657576,-1
-3.1,-0.594949,-1
-3.1,-0.532323,-1
-3.1,-0.469697,-1
-3.1,-0.407071,-1
-3.1,-0.344444,-1
-3.1,-0.281818,-1
-3.1,-0.219192,-1
-3.1,-0.156566,-1
-3.1,-0.0939394,-1
-3.1,-0.0313131,-1
-3.1,0.0313131,-1
-3.1,0.0939394,-1
-3.1,0.156566,0.36095
-3.1,0.219192,0.255288
-3.1,0.281818,0.213006
-3.1,0.344444,0.189626
-3.1,0.407071,0.175111
-3.1,0.469697,0.165869
-3.1,0.532323,0.160122
-3.1,0.594949,0.156666
-3.1,0.657576,0.155143
-3.1,0.720202,0.155153
-3.1,0.782828,0.156482
-3.1,0.845455,0.159051
-3.1,0.908081,0.162658
-3.1,0.970707,0.167455
-3.1,1.03333,0.173426
-3.1,1.09596,0.180768
-3.1,1.15859,0.189486
-3.1,1.22121,0.199818
-3.1,1.28384,0.211894
-3.1,1.34646,0.226031
-3.1,1.40909,0.242457
-3.1,1.47172,0.26122
-3.1,1.53434,0.282176
-3.1,1.59697,0.305149
-3.1,1.6596,0.329934
-3.1,1.72222,0.355625
-3.1,1.78485,0.382217
-3.1,1.84747,0.409199
-3.1,1.9101,0.436173
-3.1,1.97273,0.463242
-3.1,2.03535,0.490357
-3.1,2.09798,0.51731
-3.1,2.16061,0.544447
-3.1,2.22323,0.571985
-3.1,2.28586,0.600209
-3.1,2.34848,0.629569
-3.1,2.41111,0.661042
-3.1,2.47374,0.696464
-3.1,2.53636,0.740732
-3.1,2.59899,0.829751
-3.1,2.66162,2.58095
-3.1,2.72424,-1
-3.1,2.78687,-1
-3.1,2.84949,6.34536
-3.1,2.91212,6.39441
-3.1,2.97475,2.96932
-3.1,3.03737,1.8098
-3.1,3.1,2.01919
-3.03737,-3.1,6.35146
-3.03737,-3.03737,-1
-3.03737,-2.97475,-1
-3.03737,-2.91212,0.543291
-3.03737,-2.84949,0.421749
-3.03737,-2.78687,0.367093
-3.03737,-2.72424,0.337422
-3.03737,-2.66162,0.321086
-3.03737,-2.59899,0.313555
-3.03737,-2.53636,0.313121
-3.03737,-2.47374,0.319922
-3.03737,-2.41111,0.337616
-3.03737,-2.34848,1.6633
-3.03737,-2.28586,1.61937
-3.03737,-2.22323,1.60004
-3.03737,-2.16061,1.59858
-3.03737,-2.09798,1.61636
-3.03737,-2.03535,1.66869
-3.03737,-1.97273,1.9219
-3.03737,-1.9101,-1
-3.03737,-1.84747,-1
-3.03737,-1.78485,-1
-3.03737,-1.72222,5.8513
-3.03737,-1.6596,5.73518
-3.03737,-1.59697,-1
-3.03737,-1.53434,-1
-3.03737,-1.47172,-1
-3.03737,-1.40909,5.3392
-3.03737,-1.34646,-1
-3.03737,-1.28384,-1
-3.03737,-1.22121,-1
-3.03737,-1.15859,-1
-3.03737,-1.09596,-1
-3.03737,-1.03333,-1
-3.03737,-0.970707,-1
-3.03737,-0.908081,-1
-3.03737,-0.845455,-1
-3.03737,-0.782828,-1
-3.03737,-0.720202,-1
-3.03737,-0.657576,-1
-3.03737,-0.594949,-1
-3.03737,-0.532323,-1
-3.03737,-0.469697,-1
-3.03737,-0.407071,-1
-3.03737,-0.344444,-1
-3.03737,-0.281818,-1
-3.03737,-0.219192,-1
-3.03737,-0.156566,-1
-3.03737,-0.0939394,-1
-3.03737,-0.0313131,-1
-3.03737,0.0313131,-1
-3.03737,0.0939394,-1
-3.03737,0.156566,-1
-3.03737,0.219192,-1
-3.03737,0.281818,-1
-3.03737,0.344444,0.482353
-3.03737,0.407071,0.366238
-3.03737,0.469697,0.320343
-3.03737,0.532323,0.294532
-3.03737,0.594949,0.278849
-3.03737,0.657576,0.269277
-3.03737,0.720202,0.263849
-3.03737,0.782828,0.261607
-3.03737,0.845455,0.261806
-3.03737,0.908081,0.264048
-3.03737,0.970707,0.268166
-3.03737,1.03333,0.273886
-3.03737,1.09596,0.281253
